id,series,date,title,area,category,n_coords,lon,lat,depth_triples,description
38488,NW-M-0071-20,2020-01-16,Waterway information,Southwestern Shore Vicinity Pollock Point,Shallow Depth Reported,1,-64.48832444444444,44.141508333333334,[],Canadian Hydrographic Service reports shallow depth of 1.9 meter in 44 08 29.430N 064 29 17.968W (depths are in meters below Chart Datum and horizontal positions are based on NAD83). Caution.
38551,NW-M-0076-20,2020-01-17,Waterway information Cancels NW-M-0074-20,Southwestern Shore,Shallow Depth Reported,11,-64.54556666666667,44.11796666666667,[],Shallower depths have been identified in an area bounded by the following coordinates : 44 7.078N 064 32.734W 44 6.996N 064 31.592W 44 6.691N 064 30.483W 44 6.138N 064 30.16W 44 5.273N 064 30.37W 44 5.019N 064 31.618W 44 3.472N 064 31.849W 44 2.532N 064 33.445W 44 2.332N 064 36.816W 44 3.638N 064 37.932W 44 7.078N 064 32.734W Shallower depths located at: Latitude Longitude Depth (in fathoms) 44 05
38554,NW-M-0077-20,2020-01-17,Waterway information,Southwestern Shore,Shallow Depth Reported,9,-64.6039,44.1443,[],Shallower depths have been identified in an area bounded by the following coordinates: 44 8.658N 064 36.234W 44 9.135N 064 35.957W 44 9.128N 064 32.439W 44 8.852N 064 30.19W 44 7.945N 064 28.216W 44 6.931N 064 30.161W 44 7.184N 064 32.099W 44 8.108N 064 34.789W 44 8.658N 064 36.234W Shallower depths located at: Latitude Longitude Depth (in fathoms) 44 08 03.679N 064 29 16.744W 4.3 44 08 10.666N 06
38572,NW-M-0079-20,2020-01-17,Waterway information Cancels NW-M-0078-20,Southwestern Shore,Shallow Depth Reported,7,-64.65941666666667,44.01873333333333,[],Shallower depths have been identified in an area bounded by the following coordinates: 44 1.124N 064 39.565W 44 1.595N 064 40.636W 44 2.276N 064 41.052W 44 2.928N 064 38.888W 44 3.663N 064 37.505W 44 3.366N 064 37.44W 44 1.124N 064 39.565W Shallower depths located at : Latitude Longitude Depth (in feet) 44 2.306N 064 39.108W 27 44 1.342N 064 39.815W 15 44 2.159N 064 39.991W 39 44 2.298N 064 40.643
41623,NW-M-0349-20,2020-03-12,Waterway information,"Gulf - Magdalen - south Vicinity North Rustico, PEI",Shallow Depth Reported,0,,,[],Shallower depths reported at; Latitude Longitude Depth (Ft) 46 25.940N 063 14.110W 1.0 46 25.790N 063 15.240W 1.0 46 25.850N 063 15.410W 2.0 46 26.000N 063 15.940W 3.0 46 26.800N 063 18.300W 2.0 46 27.000N 063 18.190W 2.0 46 27.280N 063 17.390W 0.0 46 27.390N 063 17.360W -1.0 46 27.390N 063 17.300W 0.0 Available depth refers to chart datum. Caution.
51772,NW-A-0035-20,2020-07-10,Waterway information Cancels NW-A-0034-20,Shipping Safety Control Zone 14,Shallow Depth Reported,2,-78.23366666666666,62.382333333333335,[],The canadian hyrdrographic service found the following depths less than charted in Hudson Strait area. 62 22.94N 078 14.02W at a depth of 24 fathoms 62 22.77N 078 15.49W at a depth of 25 fathoms.
52249,NW-N-0828-20,2020-07-15,Obstruction,Northeast Coast,Submerged Object,1,-54.16538333333333,49.73355,[],Submerged buoy mooring located in vicinity of 49 44.013N 054 09.923W. Caution.
73447,NW-M-0481-21,2021-04-13,Waterway information,"Northumberland Strait Vicinity Saint-Édouard, N.B.",Shallow Depth Reported,1,-64.69863333333333,46.540483333333334,[],A sandbar is blocking the channel entrance at 46 32 25.74224N 064 41 55.1016W. Depths as shallow as 1.46 metres above chart datum have been surveyed.
73450,NW-M-0482-21,2021-04-13,Waterway information,"Northumberland Strait Vicinity Cap Lumière, N.B.",Shallow Depth Reported,1,-64.71035,46.67313333333333,[],A sandbar has been located near the harbour entrance at 46 40 23.30884N 064 42 37.25819W. Depths are as shallow as 0.1 metre above chart datum.
75443,NW-P-0619-21,2021-05-05,Obstruction,Fraser River Vancouver Harbour,Submerged Object,1,-123.10383333333333,49.2735,[],Submerged concrete pilings approximately 2 feet below the water surface reported in False Creek in the vicinity of Science World located at 49 16.450N 123 06.230W. Caution
97718,NW-P-0101-22,2022-01-18,Obstruction - sunken vessel,BC Inland Waterways and Lakes,Submerged Object,1,-117.21528333333333,49.58,[],A sunken sailing vessel reported in West Arm Kootney Lake in the vicinity of 49 34.800N 117 12.917W. Mast showing above the waterline. Caution.
108670,NW-H-0068-22,2022-06-14,Obstruction,Great Slave Lake Vicinity Back Bay,Obstruction (Other) Submerged Object,1,-114.34335,62.48185,[],Semi submerged propane tank reported in position 62 28.911N 114 20.601W. Tank moored to bottom. Caution.
115214,NW-P-1035-22,2022-08-15,Obstruction,Strait of Georgia,Submerged Object,1,-123.68546666666667,49.070816666666666,[],"A partially submerged embedded piling has been reported north of Pylades Island in the vicinity of 49 04.249N 123 41.128W. The piling is 30 cm in diameter, with 4 large spikes extending outward. Caution."
116795,NW-P-1168-22,2022-09-04,Obstruction Cancels NW-P-1167-22,Strait of Georgia,Submerged Object,1,-123.78535,49.464016666666666,[],"Partially submerged 30 foot vessel 3 feet showing above the water at the bow, attached to a buoy in the Strait of Georgia in the vicinity of 49 27.841N 123 47.121W Caution."
117637,NW-M-1650-22,2022-09-14,Obstruction,Chaleur - Miscou - south Vicinity Northwest Miramichi River,Submerged Object,7,-65.82041932083177,46.94497693622493,[],Presence of unmarked hazards which may be submerged in the vicinity of the Sunny Corner Bridge. Caution
121093,NW-A-0156-22,2022-10-18,Obstruction,Arctic Vicinity Chesterfield Narrows,Submerged Object,1,-94.315,63.99333333333333,[],"Submerged object, depth less than 4.8 meters."
122152,NW-A-0170-22,2022-10-28,Waterway information,Belcher,Shallow Depth Reported,1,-76.92218333333334,57.486266666666666,[],"Shallower depth, 19.1 meters"
138940,NW-M-0811-23,2023-06-22,Waterway information,Chaleur - Miscou - south Vicinity Escuminac Harbour,Shoal,3,-64.88675006666666,47.081417433333336,[],A Post-Dredge survey has identified the following shoal areas not identified by navigational aids in Escuminac Harbour: Latitude Longitude Depth (m) 47 04.885N 064 53.205W 0.5 47 04.959N 064 53.274W 0.7 47 04.970N 064 53.221W 1.0 Caution
139516,NW-N-0796-23,2023-06-28,Waterway information,Southwest Coast,Sandspit or Sandbar Change,1,-55.552012245153605,47.44659513004973,[],Boxey Habour Authority advises a large sandbar outside of the breakwater to the harbour. Caution.
139619,NW-P-0832-23,2023-06-29,Obstruction - Submerged Structure,Douglas Channel & Gardner Canal,Submerged Object,1,-128.68666666666667,53.99388888888889,[],Submerged concrete structure reported in Kitimat Harbour at 53 59.633N 128 41.200W. It is marked with a coloured hazard buoy with orange stripes and orange diamond shapes.
139741,NW-C-1108-23,2023-06-30,Aids to Navigation,Lake Erie Vicinity Point Pelee,RACON Aids Southeast Shoal light LL 597,1,-82.46279138888889,41.826344722222224,[],RACON out of service
140527,NW-A-0045-23,2023-07-07,Obstruction,Great Slave Lake Vicinity Mosher Island,Submerged Object,1,-114.34491666666666,62.442116666666664,[],Report of a large tire partially submerged East of Mosher Island.
140695,NW-M-0914-23,2023-07-10,Obstruction,Fundy Vicinity Walton River,Submerged Object,4,-64.01761027474458,45.23235072697167,[],4 large semi-submerged shipping containers in the Walton River. 3 Containers are off the old Walton wharf and one is off Half Tide rock. Caution.
141616,NW-P-0924-23,2023-07-19,Obstruction - Submerged Object,West Coast Vancouver Island South,Submerged Object,1,-125.8315,49.12741666666667,[],"An uncharted can buoy reported just below the surface in Browning Passage at 49 07.645N 125 49.890W. Metal silver can, 3-4ft in diameter."
143239,NW-A-0083-23,2023-08-04,Waterway information,Tulita mile 512 to Fort Good Hope mile 684 Vicinity Hume Island,Shallow Depth Reported,0,,,[],
143977,NW-C-1516-23,2023-08-11,Waterway information,Welland Canal Vicinity Thorold,Shallow Depth Reported,4,-79.19795,43.11188333333333,"[[43.1121, -79.19773333333333, 7.8]]",Shallower depth located in an area bounded by: 43 06.713N 079 11.877W 43 06.776N 079 11.855W 43 06.775N 079 11.852W 43 06.726N 079 11.864W Least depth 7.8 metres.
144127,NW-M-1110-23,2023-08-12,Obstruction,Halifax Harbour and Approaches Vicinity Halifax Harbour,Submerged Object,1,-63.54958333333333,44.62768333333333,[],Partially submerged heavy line measuring 2 inches in diametre in 44 37.661N 063 32.975W
145951,NW-M-1272-23,2023-08-31,Obstruction,Northumberland Strait Vicinity Rocky Point,Submerged Object,1,-63.138333333333335,46.20666666666666,[],Semi submerged vessel in 46 12.4N 063 08.3W
156182,NW-M-0101-24,2024-01-22,Waterway information,Eastern Shore,Shoal,1,-60.9048,45.2732,[],As a result of hydrographic survey the following shallower depths were found at: Latitude Longitude Depth (m) 45 16.392N 060 54.288W 16.5
156275,NW-N-0048-24,2024-01-24,Waterway information - Shallower depths identified,South Coast Vicinity St. Lawrence Harbour,Shallow Depth Reported,0,,,[],Sounding surveys have identified shallower depths in the following locations: Latitude Longitude Depth (metres) 46 54.549N 055 23.092W Dry 0.03 Latitude Longitude Depth (metres) 46 54.413N 055 23.005W 0.91 Latitude Longitude Depth (metres) 46 55.029N 055 23.424W 2.44 Latitude Longitude Depth (metres) 46 54.483N 055 23.044W 3.05 Latitude Longitude Depth (metres) 46 54.137N 055 22.201W 3.66 Latitude
156652,NW-M-0126-24,2024-01-27,Waterway information,Eastern Shore Fourchu,Shallow Depth Reported,2,-60.9362,45.32496666666667,"[[45.32496666666667, -60.9362, 8.4], [45.21403333333333, -61.02803333333333, 19.3]]",As a result of hydrographic survey the following shallower depths were found at: Latitude Longitude Depth (M) 45 19.498N 060 56.172W 8.4M 45 12.842N 061 01.682W 19.3M
157332,NW-A-0008-24,2024-02-13,Waterway information,Shipping Safety Control Zone 10 Vicinity Pangnirtung,Shoal,4,-65.71183333333333,66.15218259916668,[],Shoaling reported at the Pangnirtung Small Craft Harbour channel entrance. Depths vary from 0.6 metres below chart datum along the channel centerline to 0.7 metres above chart datum along the eastearn edge of the channel.
157337,NW-M-0247-24,2024-02-14,Waterway information,Eastern Shore,Shallow Depth Reported,2,-61.157133333333334,45.190466666666666,[],Shallower depths located at: Latitude Longitude Depth (in Metres) 45 11.428N 061 09.428W 4.8 45 12.318N 061 09.586W 8.3
157553,NW-M-0280-24,2024-02-27,Waterway information,Fourchu,Shallow Depth Reported,2,-61.14666666666667,45.35987333333333,"[[45.35986666666667, -61.14666666666667, 6.9], [45.35905, -61.13986666666667, 6.1]]",Shallower depths have been reported in the following locations: Latitude Longitude Depth 45 21.592N 061 08.800W 6.9M Latitude Longitude Depth 45 21.543N 061 08.392W 6.1M Caution.
157622,NW-M-0290-24,2024-02-29,Waterway information,Fourchu,Shallow Depth Reported,3,-61.256933333333336,45.35349,"[[45.35348333333334, -61.256933333333336, 6.2], [45.35625, -61.1882, 7.4], [45.351416666666665, -61.27086666666667, 12.6]]",Shallower depths located at: Latitude Longitude Depth 45 21.209N 061 15.416W 6.2 m Latitude Longitude Depth 45 21.375N 061 11.292W 7.4m Latitude Longitude Depth 45 21.085N 061 16.252W 12.6m Caution
157741,NW-M-0313-24,2024-03-08,Waterway information,Fourchu,Shallow Depth Reported,1,-60.99645,45.429716666666664,[],Shallower depths located at: Latitude Longitude Depth (in metres) 45 25.783N 060 59.787W 29.6 All depths are referenced to CHS Chart Datum. 45 25.783N 060 59.787W
157784,NW-M-0317-24,2024-03-11,Waterway information,Fourchu,Shallow Depth Reported,5,-61.05403666666667,45.42822,[],Shallower depths located at: Latitude Longitude Depth (in metres) 45 25.693N 061 03.242W 19.5 45 26.112N 061 02.550W 19.8 45 26.067N 061 00.851W 19.9 45 25.535N 061 03.291W 21.0 45 25.678N 061 01.211W 27.7 Available depths are referenced to CHS Chart Datum.
157856,NW-M-0338-24,2024-03-14,Waterway information Cancels NW-M-0312-24,"Fourchu Vicinity Canso, NS",Shallow Depth Reported,3,-61.003366666666665,45.43955,[],Shallower depths located at: Latitude Longitude Depth (in metres) 45 26.373N 061 00.202W 21.5 45 25.940N 060 59.774W 25.0 45 26.320N 060 58.947W 46.0 All depths are referenced to CHS Chart Datum.
157857,NW-M-0339-24,2024-03-14,Waterway information,"Fourchu Vicinity Canso, NS",Shallow Depth Reported,7,-60.88773333333334,45.339,[],Shallower depths located at: Latitude Longitude Depth (in metres) 45 20.340N 060 53.264W 7.4 45 20.320N 060 53.545W 12.9 45 20.149N 060 54.809W 16.2 45 20.527N 060 52.693W 16.5 45 20.661N 060 52.258W 16.8 45 20.262N 060 53.582W 16.8 45 20.173N 060 54.523W 17.6 All depths are referenced to CHS Chart Datum.
157908,NW-M-0356-24,2024-03-16,Waterway information,"Fourchu Vicinity Canso, NS",Shallow Depth Reported,8,-60.880406666666666,45.35129166666667,[],Shallower depths located at: Latitude Longitude Depth (in metres) 45 21.078N 060 52.824W 5.0 45 20.493N 060 53.080W 7.5 45 21.103N 060 53.327W 7.6 45 20.711N 060 52.914W 7.7 45 20.598N 060 53.140W 8.0 45 20.473N 060 53.505W 9.2 45 20.415N 060 53.642W 9.3 45 21.086N 060 52.504W 9.7 All depths are referenced to CHS Chart Datum.
157909,NW-M-0355-24,2024-03-16,Waterway information,Fourchu,Shallow Depth Reported,1,-61.10991666666666,45.424875,[],Shallower depth located at: Latitude Longitude Depth (in Metres) 45 25.493N 061 06.595W 70.0
157917,NW-M-0361-24,2024-03-17,Waterway information,Fourchu,Shallow Depth Reported,3,-60.91961666666667,45.334095,[],Shallower depths located at: Latitude Longitude Depth in Metres 45 20.046N 060 55.177W 14.8 Latitude Longitude Depth in Metres 45 20.226N 060 52.131W 17.9 Latitude Longitude Depth in Metres 45 19.976N 060 54.366W 19.8 Avaliable depths refers to chart datum. Caution.
158112,NW-M-0425-24,2024-03-28,Waterway information,Fourchu,Shallow Depth Reported,1,-61.1677325,45.46474426666666,[],A previously uncharted seafloor obstruction has been identified at Latitude Longitude Depth (in Metres) 45 27.885N 061 10.064W 21.6 Avaliable depth refers to chart datum. Caution.
158296,NW-M-0462-24,2024-04-07,Waterway information,Fourchu,Shoal,1,-61.2638,45.422383333333336,[],"As a result of an ongoing hydrographic survey in Chedabucto Bay, a shoal depth has been identified. Latitude Longitude Depth in metres 45 25.343N 061 15.828W 8.8"
158317,NW-M-0465-24,2024-04-08,Waterway information,Fourchu Vicinity Chedabucto Bay,Shoal,1,-61.087516666666666,45.46541666666667,[],Shoal depth of 20.8 metres located in Chedabucto Bay at 45 27.925N 061 05.251W. Available depth refers to chart datum. Caution.
158444,NW-M-0485-24,2024-04-12,Waterway information,Fourchu,Shallow Depth Reported,1,-61.265,45.4285,[],Shallower depth located at: Latitude Longitude Depth (in Metres) 45 25.710N 061 15.900W 9.9
158469,NW-M-0492-24,2024-04-13,Waterway information,Fourchu,Shallow Depth Reported,1,-61.28616666666667,45.426833333333335,[],Shallower depth located at: Latitude Longitude Depth (in Metres) 45 25.61N 061 17.17W 6.1
158684,NW-M-0546-24,2024-04-20,Waterway information,Fourchu Vicinity Isle Madame,Shallow Depth Reported,7,-60.86935,45.47965,[],"Shallower depths have been found at the following locations: Latitude Longitude Depth (m) 45 28.779N 060 52.161W, 8.8 45 28.668N 060 52.100W, 14.2 45 28.878N 060 53.896W, 8.8 45 28.627N 060 53.354W, 8.6 45 28.488N 060 54.534W, 15.5 45 27.934N 061 01.835W, 17.3 45 27.925N 061 02.610W, 16.7"
159075,NW-C-0776-24,2024-05-02,Obstruction Referenced by NW-C-0807-24,Lake Superior Vicinity Thunder Bay,Submerged Object,4,-89.21577213329438,48.39378106085653,[],Damaged dock with submerged rubble reported at section 24 of the Port of Thunder Bay
160005,NW-M-0795-24,2024-05-28,Waterway information,Fourchu,Shallow Depth Reported,1,-59.970602499302736,45.9034195633675,[],It has been recently identified that the current bathymetric data contained within Louisbourg Harbour chart (4376) is unreliable due to major vertical/horizontal datum concerns. Recent bathymetric surveys has shown the presence of shallower depths compared to what is currently charted. Mariners are advised to exercise extreme caution when using this chart to navigate.
161081,NW-M-1027-24,2024-06-26,Obstruction,Northumberland Strait Vicinity Munns Point,Submerged Object,1,-63.061749999999996,46.26347222222222,[],Submerged engine measuring approximately 2.438 metres in length and marked with a yellow buoy in 46 15.808N 063 03.705W. Caution.
162341,NW-M-1283-24,2024-07-30,Waterway information,Eastern Shore Vicinity Wedge Island,Shallow Depth Reported,3,-61.895373166666666,45.00267186666667,"[[45.00266666666667, -61.89536666666667, 7.8], [45.00268333333333, -61.88166666666667, 8.4]]","As a result of an ongoing hydrographic survey, shallower than charted depths have been located in the following positions: 7.0 meters in 45 00.160N 061 53.722W, 7.8 meters in 45 00.161N 061 52.900W, 8.4 meters in 45 00.544N 061 53.543W. Horizontal Datum: WGS84"
162622,NW-M-1363-24,2024-08-07,Waterway information,Chaleur - Miscou - south,Shallow Depth Reported,3,-64.66138333333333,47.71126666666667,[],Shallower depths located at: Latitude Longitude Depth (in Metres) 47 42.676N 064 39.683W 4.2 47 42.755N 064 39.742W 2.9 47 42.952N 064 39.780W 1.5
162624,NW-M-1364-24,2024-08-07,Waterway information,Chaleur - Miscou - south,Shallow Depth Reported,4,-64.66271666666667,47.715,[],Shallower depths located in an area bound by: 47 42.900N 064 39.763W 47 42.904N 064 39.746W 47 42.895N 064 39.731W 47 42.848N 064 39.753W Limiting depth of 1.2 metres. Caution.
162634,NW-M-1366-24,2024-08-07,Waterway information,Eastern Shore,Shallow Depth Reported,3,-61.4373,45.15513333333333,[],Shallower depths located at: Latitude Longitude Depth (in Metres) 45 09.308N 061 26.238W 3.8 45 07.514N 061 30.135W 14.4 45 09.471N 061 26.368W 4.7
162971,NW-M-1497-24,2024-08-15,Waterway information,Eastern Shore,Shallow Depth Reported,0,,,[],Shallower depths located at Latitude Longitude Depth in Meters 45 08.670N 061 27.947W 15.4 45 05.636N 061 31.918W 18.8 45 05.730N 061 33.035W 8.6 45 05.893N 061 32.883W 3.4 45 05.985N 061 33.048W 4.3 45 06.089N 061 33.401W 4.9 45 05.523N 061 32.657W 13.3 45 06.707N 061 30.035W 9 45 04.597N 061 32.863W 3.3 45 04.806N 061 33.333W 4.9 45 06.256N 061 34.800W 7.4 45 05.986N 061 34.465W 5.1 Available de
163019,NW-M-1521-24,2024-08-16,Waterway information,Eastern Shore Vicinity Country Harbour,Shallow Depth Reported,3,-61.54978333333333,45.0902,"[[45.0902, -61.54978333333333, 16.9], [45.10273333333333, -61.50751666666667, 19.8], [45.10635, -61.518033333333335, 12.0]]",Shallower depths located at: 45 05.412N 061 32.987W 16.9 metres 45 06.164N 061 30.451W 19.8 metres 45 06.381N 061 31.082W 12.0 metres
163765,NW-P-1411-24,2024-09-03,Obstruction-Sunken Barge,Fraser River,Submerged Object,1,-122.72605,49.24908222222222,[],"A sunken barge with machinery equipment onboard has been reported in Pitt River, under the Lougheed Highway Bridge at 49 14.945N 122 43.563W."
164585,NW-M-1960-24,2024-09-26,Waterway information,"Fourchu Vicinity Louisbourg, NS",Shallow Depth Reported,6,-59.95773333333333,45.898266666666665,[],Shallower depths located at Latitude Longitude Depth in Meters 45 53.896N 059 57.464W 0.3 45 53.870N 059 57.889W 1.5 45 53.703N 059 57.487W 1.5 45 53.689N 059 59.050W 0.9 45 53.492N 059 58.142W 1.2 45 53.581N 059 58.002W 1.5
164767,NW-N-1042-24,2024-10-01,Waterway information,South Coast,Shallow Depth Reported,0,,,[],Sounding surveys have identified shallower depths in the following locations: Latitude Longitude Depth 47 17.880N 47 18.120N 47 18.270N 47 19.100N 47 17.290N 47 17.850N 053 58.540W 053 58.120W 053 57.560W 053 57.980W 053 59.550W 053 59.560W 32.6 25.3 36.7 10.9 9.1 13.5 The 5 meter contour has become unreliable between the following locations as it has shoaled inward towards the deep part of the ch
165649,NW-M-2186-24,2024-11-03,Obstruction,Fourchu,Submerged Object,1,-60.99105,45.3373,[],"Small anchor lost near Canso Marina at 45 20.238N 060 59.463W , depth 11 metres."
166060,NW-M-2390-24,2024-11-14,Obstruction,Northumberland Strait,Submerged Object,1,-63.461666666666666,46.099,[],Lost fishing vessel anchor with rope and orange buoy in 46 05.940N 063 27.700W. Caution
166296,NW-C-3222-24,2024-11-23,Waterway information,Lake Ontario Vicinity Oshawa,Shallow Depth Reported,0,,,"[[43.86646666666667, -78.82656666666666, 1.8], [43.86638333333333, -78.82601666666666, 2.7], [43.866, -78.82606666666666, 2.8], [43.8661, -78.8258, 3.7], [43.866366666666664, -78.82556666666666, 3.8], [43.86676666666666, -78.82675, 1.1], [43.8667, -78.82656666666666, 1.3], [43.8636, -78.82291666666667, 1.5], [43.866616666666665, -78.82635, 1.6], [43.86716666666667, -78.82663333333333, 1.6]]","Shallower depths located at: 43 51.988N 078 49.594W, 1.8 metres 43 51.983N 078 49.561W, 2.7 metres 43 51.960N 078 49.564W, 2.8 metres 43 51.966N 078 49.548W, 3.7 metres 43 51.982N 078 49.534W, 3.8 metres 43 52.006N 078 49.605W, 1.1 metres 43 52.002N 078 49.594W, 1.3 metres 43 51.816N 078 49.375W, 1.5 metres 43 51.997N 078 49.581W, 1.6 metres 43 52.030N 078 49.598W, 1.6 metres"
166702,NW-C-3382-24,2024-12-10,Waterway information Cancels NW-C-1091-24,Port of Montreal Vicinity Port of Montreal,Shallow Depth Reported,1,-73.54555,45.502833333333335,"[[45.502833333333335, -73.54555, 10.4]]","Shallower depth located at: 45 30.170N 073 32.733W, 10.4 metres"
166703,NW-C-3383-24,2024-12-10,Waterway information Reference NW-C-1091-24,Port of Montreal Vicinity Port of Montreal,Shallow Depth Reported,1,-73.54545,45.50386666666667,"[[45.50386666666667, -73.54545, 10.5]]","Shallower depth located at: 45 30.232N 073 32.727W, 10.5 metres"
166704,NW-C-3384-24,2024-12-10,Waterway information Reference NW-C-1091-24,Port of Montreal Vicinity Port of Montreal,Shallow Depth Reported,1,-73.54311666666666,45.5153,"[[45.5153, -73.54311666666666, 10.2]]","Shallower depth located at: 45 30.918N 073 32.587W, 10.2 metres"
166705,NW-C-3385-24,2024-12-10,Waterway information Reference NW-C-1091-24,Port of Montreal Vicinity Port of Montreal,Shallow Depth Reported,1,-73.54308333333333,45.51286666666667,"[[45.51286666666667, -73.54308333333333, 9.3]]","Shallower depth located at: 45 30.772N 073 32.585W, 9.3 metres"
166706,NW-C-3386-24,2024-12-10,Waterway information Reference NW-C-1091-24,Port of Montreal Vicinity Port of Montreal,Shallow Depth Reported,1,-73.54496666666667,45.502966666666666,"[[45.502966666666666, -73.54496666666667, 9.5]]","Shallower depth located at: 45 30.178N 073 32.698W, 9.5 metres"
166707,NW-C-3387-24,2024-12-10,Waterway information Reference NW-C-1091-24,Port of Montreal Vicinity Port of Montreal,Shallow Depth Reported,1,-73.5453,45.50246666666666,"[[45.50246666666666, -73.5453, 10.2]]","Shallower depth located at: 45 30.148N 073 32.718W, 10.2 metres"
166708,NW-C-3388-24,2024-12-10,Waterway information Reference NW-C-1091-24,Port of Montreal Vicinity Port of Montreal,Shallow Depth Reported,1,-73.53386666666667,45.5342,"[[45.5342, -73.53386666666667, 10.5]]","Shallower depth located at: 45 32.052N 073 32.032W, 10.5 metres"
166709,NW-C-3389-24,2024-12-10,Waterway information Reference NW-C-1091-24,Port of Montreal Vicinity Port of Montreal,Shallow Depth Reported,1,-73.54338333333334,45.5125,"[[45.5125, -73.54338333333334, 10.4]]","Shallower depth located at: 45 30.750N 073 32.603W, 10.4 metres"
166710,NW-C-3390-24,2024-12-10,Waterway information Reference NW-C-1091-24,Port of Montreal Vicinity Port of Montreal,Shallow Depth Reported,1,-73.54361666666667,45.509083333333336,"[[45.509083333333336, -73.54361666666667, 9.8]]","Shallower depth located at: 45 30.545N 073 32.617W, 9.8 metres"
166711,NW-C-3391-24,2024-12-10,Waterway information Reference NW-C-1091-24,Port of Montreal Vicinity Port of Montreal,Shallow Depth Reported,1,-73.54275,45.514966666666666,"[[45.514966666666666, -73.54275, 9.9]]","Shallower depth located at: 45 30.898N 073 32.565W, 9.9 metres"
166713,NW-C-3393-24,2024-12-10,Waterway information Reference NW-C-1091-24,Port of Montreal Vicinity Port of Montreal,Shallow Depth Reported,1,-73.5308,45.54516666666667,"[[45.54516666666667, -73.5308, 9.6]]","Shallower depth located at: 45 32.710N 073 31.848W, 9.6 metres"
166714,NW-C-3394-24,2024-12-10,Waterway information Reference NW-C-1091-24,Port of Montreal Vicinity Port of Montreal,Shallow Depth Reported,1,-73.54291666666667,45.516083333333334,"[[45.516083333333334, -73.54291666666667, 10.3]]","Shallower depth located at: 45 30.965N 073 32.575W, 10.3 metres"
